epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,241.334,0.84628,0.77249,1.09718,0.75384,0.71528,0.75378,0.47741,1.20477,0.98838,1.19681,0.0004852,0.0004852,0.0004852
28,250.656,0.86756,0.78873,1.11006,0.80989,0.69719,0.76742,0.47518,1.23615,1.07525,1.21536,0.0004654,0.0004654,0.0004654
29,259.873,0.85657,0.76939,1.10307,0.7865,0.70141,0.79714,0.52107,1.15063,0.90073,1.13992,0.0004456,0.0004456,0.0004456
30,268.919,0.84724,0.7596,1.09699,0.83026,0.67927,0.7903,0.49326,1.23306,1.0292,1.19152,0.0004258,0.0004258,0.0004258
31,277.768,0.85118,0.73916,1.09163,0.81616,0.71915,0.79383,0.51008,1.16898,0.91316,1.14055,0.000406,0.000406,0.000406
32,288.898,0.82559,0.73199,1.07465,0.81357,0.76582,0.82803,0.55577,1.11216,0.82112,1.11359,0.0003862,0.0003862,0.0003862
33,297.806,0.82446,0.72452,1.08326,0.84502,0.73815,0.81964,0.53919,1.15646,0.87334,1.14408,0.0003664,0.0003664,0.0003664
34,306.892,0.82147,0.72928,1.07832,0.83686,0.71797,0.81039,0.52357,1.17689,0.85872,1.16933,0.0003466,0.0003466,0.0003466
35,315.773,0.80958,0.70534,1.07487,0.78051,0.7299,0.79785,0.51296,1.20135,0.97154,1.18196,0.0003268,0.0003268,0.0003268
36,325.498,0.82187,0.72197,1.08617,0.88952,0.69682,0.8281,0.55009,1.15167,0.84536,1.13134,0.000307,0.000307,0.000307
37,334.494,0.81084,0.7005,1.0676,0.8125,0.72983,0.82532,0.55311,1.15284,0.80816,1.14126,0.0002872,0.0002872,0.0002872
38,343.086,0.81115,0.69741,1.07405,0.84895,0.71968,0.82217,0.54629,1.13591,0.80803,1.12743,0.0002674,0.0002674,0.0002674
39,352.042,0.77876,0.67763,1.05914,0.89334,0.68915,0.8172,0.5486,1.10697,0.83462,1.11249,0.0002476,0.0002476,0.0002476
40,360.836,0.78677,0.67205,1.05701,0.78872,0.76523,0.82434,0.54511,1.12537,0.82061,1.13464,0.0002278,0.0002278,0.0002278
41,445.007,0.78735,0.67164,1.04432,0.79575,0.70469,0.80746,0.52501,1.15196,0.93466,1.15834,0.000208,0.000208,0.000208
42,454.325,0.76107,0.61245,1.02809,0.83687,0.74827,0.82399,0.57027,1.08952,0.79672,1.10942,0.0001882,0.0001882,0.0001882
43,461.228,0.75336,0.60329,1.03166,0.83148,0.77636,0.85314,0.59128,1.0644,0.76092,1.09016,0.0001684,0.0001684,0.0001684
44,468.271,0.7469,0.58278,1.02536,0.81274,0.7783,0.83997,0.56747,1.10819,0.78744,1.1198,0.0001486,0.0001486,0.0001486
45,475.633,0.74069,0.56505,1.02878,0.82553,0.78714,0.84667,0.57803,1.10402,0.76099,1.10921,0.0001288,0.0001288,0.0001288
46,482.956,0.71387,0.54849,1.01271,0.82709,0.77214,0.85203,0.58462,1.09131,0.75315,1.10652,0.000109,0.000109,0.000109
47,490.136,0.7105,0.54132,1.00356,0.83771,0.76804,0.84287,0.58196,1.08248,0.76683,1.0987,8.92e-05,8.92e-05,8.92e-05
48,500.049,0.71276,0.54645,1.02177,0.82058,0.80137,0.8485,0.59318,1.05924,0.73622,1.08423,6.94e-05,6.94e-05,6.94e-05
49,508.902,0.70087,0.54182,1.00276,0.82742,0.79406,0.85923,0.59661,1.05686,0.72676,1.08204,4.96e-05,4.96e-05,4.96e-05
50,517.525,0.71791,0.5296,1.01334,0.84892,0.78098,0.8568,0.59878,1.05276,0.73019,1.07697,2.98e-05,2.98e-05,2.98e-05
