epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.0878,1.41731,2.21526,1.42542,0.0066,0.3882,0.0806,0.02953,2.96342,3.91924,2.67125,0.000326531,0.000326531,0.0676735
2,23.3357,1.24493,1.50436,1.29405,0.49273,0.4115,0.45141,0.23783,1.54662,2.08253,1.48023,0.000646799,0.000646799,0.0346604
3,32.2827,1.19028,1.35175,1.2669,0.39755,0.48518,0.40734,0.20964,1.77723,2.00776,1.55875,0.000953867,0.000953867,0.00163414
4,43.8282,1.14149,1.24989,1.24317,0.49866,0.49532,0.48807,0.26977,1.59387,2.0207,1.51134,0.0009406,0.0009406,0.0009406
5,52.4179,1.12707,1.22469,1.23656,0.67644,0.54571,0.60881,0.33658,1.46201,1.73195,1.42545,0.0009208,0.0009208,0.0009208
6,61.3004,1.10553,1.13612,1.22388,0.54937,0.58049,0.58325,0.30997,1.53292,1.66938,1.42746,0.000901,0.000901,0.000901
7,69.7221,1.0745,1.0844,1.20269,0.60747,0.55677,0.56242,0.30809,1.5674,1.80177,1.55485,0.0008812,0.0008812,0.0008812
8,78.9324,1.06207,1.07229,1.20006,0.63152,0.53993,0.60219,0.34559,1.45286,1.61804,1.33887,0.0008614,0.0008614,0.0008614
9,87.585,1.03966,1.03651,1.17953,0.78677,0.63389,0.71504,0.42765,1.34245,1.1765,1.23449,0.0008416,0.0008416,0.0008416
10,96.6278,1.02551,1.01021,1.17529,0.85534,0.53858,0.71183,0.41617,1.37271,1.28425,1.29341,0.0008218,0.0008218,0.0008218
11,105.732,0.99406,0.95854,1.15698,0.69914,0.60033,0.70003,0.4185,1.40462,1.32402,1.29848,0.000802,0.000802,0.000802
12,113.118,0.99964,0.96471,1.17011,0.76437,0.64802,0.72769,0.43969,1.33312,1.24932,1.29705,0.0007822,0.0007822,0.0007822
13,121.994,0.98792,0.95451,1.16972,0.75903,0.66567,0.73027,0.42198,1.33599,1.18833,1.25887,0.0007624,0.0007624,0.0007624
14,129.836,0.97657,0.9507,1.16721,0.81476,0.56944,0.69451,0.43185,1.32042,1.17475,1.25582,0.0007426,0.0007426,0.0007426
15,137.229,0.96492,0.93494,1.15464,0.74681,0.64571,0.71655,0.43038,1.36827,1.16423,1.27333,0.0007228,0.0007228,0.0007228
16,144.425,0.97009,0.9123,1.15134,0.79142,0.61724,0.73559,0.45765,1.30985,1.10356,1.23863,0.000703,0.000703,0.000703
17,152.223,0.94903,0.91755,1.14845,0.72052,0.67499,0.72616,0.44809,1.27337,1.0749,1.21093,0.0006832,0.0006832,0.0006832
18,159.928,0.93302,0.88915,1.1402,0.71957,0.66198,0.75278,0.45827,1.34601,1.09544,1.28731,0.0006634,0.0006634,0.0006634
19,167.597,0.91201,0.86349,1.12787,0.72415,0.67934,0.74119,0.46531,1.28611,1.07321,1.2459,0.0006436,0.0006436,0.0006436
20,176.923,0.8947,0.84057,1.12328,0.81505,0.64647,0.75516,0.48013,1.23155,0.99835,1.18128,0.0006238,0.0006238,0.0006238
21,186.563,0.88655,0.82854,1.11359,0.8325,0.66763,0.76432,0.46178,1.32512,1.06832,1.23846,0.000604,0.000604,0.000604
22,195.228,0.88377,0.82274,1.10818,0.73644,0.69606,0.76972,0.48368,1.22439,0.97606,1.18408,0.0005842,0.0005842,0.0005842
23,204.157,0.89994,0.819,1.11664,0.75424,0.66802,0.76321,0.48838,1.26009,1.06404,1.20292,0.0005644,0.0005644,0.0005644
24,212.799,0.88561,0.7907,1.11024,0.78282,0.69677,0.75674,0.46696,1.267,1.03637,1.21091,0.0005446,0.0005446,0.0005446
25,221.611,0.88003,0.79789,1.11515,0.83257,0.659,0.77901,0.50192,1.23221,0.96704,1.18955,0.0005248,0.0005248,0.0005248
26,232.556,0.88727,0.81684,1.11491,0.76728,0.72162,0.77565,0.49653,1.22454,0.9364,1.18466,0.000505,0.000505,0.000505
